timestamp,size,variant,method,alpha,model_path,test_acc,train_file,test_file,epochs,batch,val_split
2025-10-19_01-47-40,1_tiny,baseline,None,None,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__baseline__2025-10-19_01-47-39.keras,0.7408256880733946,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,15,256,0.1
2025-10-19_01-47-54,1_tiny,eda,sr,0.1,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-sr_a0.1__2025-10-19_01-47-54.keras,0.7350917431192661,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.1.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,15,256,0.1
2025-10-19_01-48-08,1_tiny,eda,sr,0.2,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-sr_a0.2__2025-10-19_01-48-08.keras,0.7350917431192661,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.2.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,13,256,0.1
2025-10-19_01-48-22,1_tiny,eda,sr,0.3,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-sr_a0.3__2025-10-19_01-48-22.keras,0.7018348623853211,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.3.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,13,256,0.1
2025-10-19_01-48-36,1_tiny,eda,sr,0.4,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-sr_a0.4__2025-10-19_01-48-36.keras,0.7236238532110092,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.4.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,13,256,0.1
2025-10-19_01-48-51,1_tiny,eda,sr,0.5,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-sr_a0.5__2025-10-19_01-48-51.keras,0.6961009174311926,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.5.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,10,256,0.1
2025-10-19_01-49-06,1_tiny,eda,ri,0.1,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-ri_a0.1__2025-10-19_01-49-06.keras,0.7396788990825688,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_ri_0.1.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,16,256,0.1
2025-10-19_01-49-21,1_tiny,eda,ri,0.2,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-ri_a0.2__2025-10-19_01-49-21.keras,0.7396788990825688,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_ri_0.2.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,16,256,0.1
2025-10-19_01-49-35,1_tiny,eda,ri,0.3,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-ri_a0.3__2025-10-19_01-49-35.keras,0.7190366972477065,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_ri_0.3.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,11,256,0.1
2025-10-19_01-49-48,1_tiny,eda,ri,0.4,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-ri_a0.4__2025-10-19_01-49-48.keras,0.7327981651376146,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_ri_0.4.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,12,256,0.1
2025-10-19_01-50-02,1_tiny,eda,ri,0.5,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-ri_a0.5__2025-10-19_01-50-02.keras,0.7327981651376146,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_ri_0.5.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,12,256,0.1
2025-10-19_01-50-16,1_tiny,eda,rd,0.1,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-rd_a0.1__2025-10-19_01-50-15.keras,0.7190366972477065,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_rd_0.1.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,11,256,0.1
2025-10-19_01-50-30,1_tiny,eda,rd,0.2,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-rd_a0.2__2025-10-19_01-50-30.keras,0.7305045871559633,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_rd_0.2.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,15,256,0.1
2025-10-19_01-50-44,1_tiny,eda,rd,0.3,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-rd_a0.3__2025-10-19_01-50-44.keras,0.713302752293578,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_rd_0.3.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,12,256,0.1
