timestamp,size,variant,method,alpha,model_path,test_acc,train_file,test_file,epochs,batch,val_split
2025-10-19_00-11-13,1_tiny,baseline,None,None,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__baseline__2025-10-19_00-11-13.keras,0.731651376146789,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,11,256,0.1
2025-10-19_00-11-30,1_tiny,eda,sr,0.1,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-sr_a0.1__2025-10-19_00-11-30.keras,0.7144495412844036,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.1.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,16,256,0.1
2025-10-19_00-11-42,1_tiny,eda,sr,0.3,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-sr_a0.3__2025-10-19_00-11-42.keras,0.694954128440367,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.3.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,9,256,0.1
2025-10-19_00-11-58,1_tiny,eda,ri,0.1,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-ri_a0.1__2025-10-19_00-11-58.keras,0.7442660550458715,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_ri_0.1.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,16,256,0.1
2025-10-19_00-12-12,1_tiny,eda,ri,0.3,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-ri_a0.3__2025-10-19_00-12-12.keras,0.7282110091743119,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_ri_0.3.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,15,256,0.1
2025-10-19_00-20-23,1_tiny,baseline,None,None,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__baseline__2025-10-19_00-20-23.keras,0.7580275229357798,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,13,256,0.1
2025-10-19_00-20-38,1_tiny,eda,sr,0.1,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-sr_a0.1__2025-10-19_00-20-37.keras,0.7339449541284404,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.1.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,16,256,0.1
2025-10-19_00-20-52,1_tiny,eda,sr,0.2,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-sr_a0.2__2025-10-19_00-20-52.keras,0.7110091743119266,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.2.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,14,256,0.1
2025-10-19_00-21-06,1_tiny,eda,sr,0.3,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-sr_a0.3__2025-10-19_00-21-06.keras,0.7052752293577982,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.3.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,15,256,0.1
2025-10-19_00-21-20,1_tiny,eda,sr,0.4,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-sr_a0.4__2025-10-19_00-21-20.keras,0.7293577981651376,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.4.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,12,256,0.1
2025-10-19_00-21-34,1_tiny,eda,sr,0.5,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-sr_a0.5__2025-10-19_00-21-34.keras,0.7018348623853211,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_sr_0.5.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,12,256,0.1
2025-10-19_00-21-48,1_tiny,eda,ri,0.1,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-ri_a0.1__2025-10-19_00-21-48.keras,0.7373853211009175,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_ri_0.1.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,14,256,0.1
2025-10-19_00-22-02,1_tiny,eda,ri,0.2,/content/drive/MyDrive/EDA_Project/models/sst2__size-1_tiny__cnn__eda-ri_a0.2__2025-10-19_00-22-02.keras,0.7282110091743119,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_ri_0.2.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,12,256,0.1
