dataset,size,variant,method,alpha,model_type,input_size,word2vec_len,epochs,batch_size,val_split,train_seconds,train_file,test_file,test_acc,timestamp,meta_path,acc,precision,recall,f1,auroc,pr_auc,pct
sst2,1_tiny,baseline,,,cnn,50,100,11,256,0.1,17.38,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,0.731651376146789,2025-10-19_00-11-13,/content/drive/MyDrive/EDA_Project/models_v1/sst2__size-1_tiny__cnn__baseline__2025-10-19_00-11-13.json,0.731651376146789,,,,,,5.0
sst2,1_tiny,baseline,,,cnn,50,100,13,256,0.1,10.09,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,0.7580275229357798,2025-10-19_00-20-23,/content/drive/MyDrive/EDA_Project/models_v1/sst2__size-1_tiny__cnn__baseline__2025-10-19_00-20-23.json,0.7580275229357798,,,,,,5.0
sst2,1_tiny,baseline,,,cnn,50,100,15,256,0.1,10.64,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_orig.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,0.7408256880733946,2025-10-19_01-47-40,/content/drive/MyDrive/EDA_Project/models_v1/sst2__size-1_tiny__cnn__baseline__2025-10-19_01-47-39.json,0.7408256880733946,,,,,,5.0
sst2,1_tiny,eda,rd,0.1,cnn,50,100,15,256,0.1,12.74,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_rd_0.1.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,0.7282110091743119,2025-10-19_00-23-00,/content/drive/MyDrive/EDA_Project/models_v1/sst2__size-1_tiny__cnn__eda-rd_a0.1__2025-10-19_00-23-00.json,0.7282110091743119,,,,,,5.0
sst2,1_tiny,eda,rd,0.1,cnn,50,100,11,256,0.1,11.54,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_rd_0.1.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,0.7190366972477065,2025-10-19_01-50-15,/content/drive/MyDrive/EDA_Project/models_v1/sst2__size-1_tiny__cnn__eda-rd_a0.1__2025-10-19_01-50-15.json,0.7190366972477065,,,,,,5.0
sst2,1_tiny,eda,rd,0.2,cnn,50,100,11,256,0.1,11.15,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_rd_0.2.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,0.7419724770642202,2025-10-19_00-23-13,/content/drive/MyDrive/EDA_Project/models_v1/sst2__size-1_tiny__cnn__eda-rd_a0.2__2025-10-19_00-23-13.json,0.7419724770642202,,,,,,5.0
sst2,1_tiny,eda,rd,0.2,cnn,50,100,15,256,0.1,12.93,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_rd_0.2.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,0.7305045871559633,2025-10-19_01-50-30,/content/drive/MyDrive/EDA_Project/models_v1/sst2__size-1_tiny__cnn__eda-rd_a0.2__2025-10-19_01-50-30.json,0.7305045871559633,,,,,,5.0
sst2,1_tiny,eda,rd,0.3,cnn,50,100,9,256,0.1,10.39,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_rd_0.3.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,0.7224770642201835,2025-10-19_00-23-26,/content/drive/MyDrive/EDA_Project/models_v1/sst2__size-1_tiny__cnn__eda-rd_a0.3__2025-10-19_00-23-26.json,0.7224770642201835,,,,,,5.0
sst2,1_tiny,eda,rd,0.3,cnn,50,100,12,256,0.1,11.83,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_rd_0.3.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,0.713302752293578,2025-10-19_01-50-44,/content/drive/MyDrive/EDA_Project/models_v1/sst2__size-1_tiny__cnn__eda-rd_a0.3__2025-10-19_01-50-44.json,0.713302752293578,,,,,,5.0
sst2,1_tiny,eda,rd,0.4,cnn,50,100,9,256,0.1,10.4,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_rd_0.4.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,0.7052752293577982,2025-10-19_00-23-39,/content/drive/MyDrive/EDA_Project/models_v1/sst2__size-1_tiny__cnn__eda-rd_a0.4__2025-10-19_00-23-39.json,0.7052752293577982,,,,,,5.0
sst2,1_tiny,eda,rd,0.4,cnn,50,100,8,256,0.1,10.42,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_rd_0.4.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,0.7155963302752294,2025-10-19_01-50-56,/content/drive/MyDrive/EDA_Project/models_v1/sst2__size-1_tiny__cnn__eda-rd_a0.4__2025-10-19_01-50-56.json,0.7155963302752294,,,,,,5.0
sst2,1_tiny,eda,rd,0.5,cnn,50,100,11,256,0.1,11.15,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_rd_0.5.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,0.7178899082568807,2025-10-19_00-23-52,/content/drive/MyDrive/EDA_Project/models_v1/sst2__size-1_tiny__cnn__eda-rd_a0.5__2025-10-19_00-23-52.json,0.7178899082568807,,,,,,5.0
sst2,1_tiny,eda,rd,0.5,cnn,50,100,9,256,0.1,10.73,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_rd_0.5.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,0.7236238532110092,2025-10-19_01-51-08,/content/drive/MyDrive/EDA_Project/models_v1/sst2__size-1_tiny__cnn__eda-rd_a0.5__2025-10-19_01-51-08.json,0.7236238532110092,,,,,,5.0
sst2,1_tiny,eda,ri,0.1,cnn,50,100,16,256,0.1,12.93,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_ri_0.1.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,0.7442660550458715,2025-10-19_00-11-58,/content/drive/MyDrive/EDA_Project/models_v1/sst2__size-1_tiny__cnn__eda-ri_a0.1__2025-10-19_00-11-58.json,0.7442660550458715,,,,,,5.0
sst2,1_tiny,eda,ri,0.1,cnn,50,100,14,256,0.1,12.14,/content/drive/MyDrive/EDA_Project/size_data_f1/1_tiny/sst2/train_ri_0.1.txt,/content/drive/MyDrive/EDA_Project/size_data_f1/test/sst2/test.txt,0.7373853211009175,2025-10-19_00-21-48,/content/drive/MyDrive/EDA_Project/models_v1/sst2__size-1_tiny__cnn__eda-ri_a0.1__2025-10-19_00-21-48.json,0.7373853211009175,,,,,,5.0
